event1	event2	m1_1	m2_1	dist1	m1_2	m2_2	dist2	Blu	Rlu
S190408an	S190828l	32.283130	23.125394	1291.185374	32.131295	12.406218	1550.884781	7.540770E-97	2.221983E-02
S190408an	S190830y	32.283130	23.125394	1291.185374	13.495155	4.414696	1058.882711	0.000000E+00	2.144305E-02
S190408an	S190901ap	32.283130	23.125394	1291.185374	2.057573	1.260297	241.128579	0.000000E+00	2.070146E-02
S190413ac	S190510g	83.477306	55.758698	4215.177173	2.127052	1.396210	214.506238	0.000000E+00	7.071323E-01
S190413ac	S190630ag	83.477306	55.758698	4215.177173	43.756930	25.094726	894.666939	5.775493E-119	8.754978E-02
S190413ac	S190706ai	83.477306	55.758698	4215.177173	112.933503	74.121426	5294.057929	2.943263E-07	7.298724E-02
S190413ac	S190708ap	83.477306	55.758698	4215.177173	21.480518	14.643784	861.632575	0.000000E+00	6.888956E-02
S190413ac	S190812an	83.477306	55.758698	4215.177173	3.388247	1.510654	280.148786	0.000000E+00	3.121358E-02
S190413ac	S190814bv	83.477306	55.758698	4215.177173	24.687522	2.707457	266.583126	0.000000E+00	2.999410E-02
S190413ac	S190828j	83.477306	55.758698	4215.177173	43.837041	35.304224	1996.229569	1.280662E-58	2.395246E-02
S190413ac	S190828l	83.477306	55.758698	4215.177173	32.131295	12.406218	1550.884781	7.539074E-260	2.394691E-02
S190413ac	S190830y	83.477306	55.758698	4215.177173	13.495155	4.414696	1058.882711	0.000000E+00	2.308229E-02
S190413ac	S190901ap	83.477306	55.758698	4215.177173	2.057573	1.260297	241.128579	0.000000E+00	2.225985E-02
S190421ar	S190413ac	48.520636	37.469384	1559.917750	83.477306	55.758698	4215.177173	4.710172E-05	3.721839E+00
S190421ar	S190510g	48.520636	37.469384	1559.917750	2.127052	1.396210	214.506238	0.000000E+00	1.331986E+00
S190421ar	S190602aq	48.520636	37.469384	1559.917750	110.865717	60.439404	2538.314813	6.472577E-26	3.192147E-01
S190421ar	S190630ag	48.520636	37.469384	1559.917750	43.756930	25.094726	894.666939	2.275170E-13	1.140178E-01
S190421ar	S190706ai	48.520636	37.469384	1559.917750	112.933503	74.121426	5294.057929	8.624093E-49	9.364175E-02
S190421ar	S190707q	48.520636	37.469384	1559.917750	13.665300	9.435456	806.532865	0.000000E+00	9.230347E-02
S190421ar	S190708ap	48.520636	37.469384	1559.917750	21.480518	14.643784	861.632575	5.243667E-174	8.792735E-02
S190421ar	S190720a	48.520636	37.469384	1559.917750	15.956410	9.005985	816.716283	0.000000E+00	6.394821E-02
S190421ar	S190812an	48.520636	37.469384	1559.917750	3.388247	1.510654	280.148786	0.000000E+00	3.663834E-02
S190421ar	S190814bv	48.520636	37.469384	1559.917750	24.687522	2.707457	266.583126	0.000000E+00	3.506653E-02
S190421ar	S190826u	48.520636	37.469384	1559.917750	1.594133	1.005948	221.791283	0.000000E+00	2.829397E-02
S190421ar	S190828j	48.520636	37.469384	1559.917750	43.837041	35.304224	1996.229569	3.140537E-06	2.745897E-02
S190421ar	S190828l	48.520636	37.469384	1559.917750	32.131295	12.406218	1550.884781	3.588951E-99	2.745213E-02
S190421ar	S190830y	48.520636	37.469384	1559.917750	13.495155	4.414696	1058.882711	9.800150E-188	2.639116E-02
S190421ar	S190901ap	48.520636	37.469384	1559.917750	2.057573	1.260297	241.128579	0.000000E+00	2.538896E-02
S190425e	190425	2.159430	1.390684	102.150916	2.063355	1.424297	163.086727	1.083446E-49	1.873679E+02
S190425e	190511	2.159430	1.390684	102.150916	3.850878	1.518912	1683.381047	1.502379E+03	1.569792E+00
S190425e	190521r	2.159430	1.390684	102.150916	51.535979	39.138066	1121.147106	0.000000E+00	7.210797E-01
S190425e	S190413ac	2.159430	1.390684	102.150916	83.477306	55.758698	4215.177173	0.000000E+00	2.516561E+00
S190425e	S190421ar	2.159430	1.390684	102.150916	48.520636	37.469384	1559.917750	0.000000E+00	1.124576E+01
S190425e	S190510g	2.159430	1.390684	102.150916	2.127052	1.396210	214.506238	1.255503E-16	1.765741E+00
S190425e	S190602aq	2.159430	1.390684	102.150916	110.865717	60.439404	2538.314813	0.000000E+00	3.665212E-01
S190425e	S190630ag	2.159430	1.390684	102.150916	43.756930	25.094726	894.666939	0.000000E+00	1.266610E-01
S190425e	S190706ai	2.159430	1.390684	102.150916	112.933503	74.121426	5294.057929	0.000000E+00	1.034814E-01
S190425e	S190707q	2.159430	1.390684	102.150916	13.665300	9.435456	806.532865	0.000000E+00	1.019602E-01
S190425e	S190708ap	2.159430	1.390684	102.150916	21.480518	14.643784	861.632575	0.000000E+00	9.698717E-02
S190425e	S190720a	2.159430	1.390684	102.150916	15.956410	9.005985	816.716283	0.000000E+00	6.978764E-02
S190425e	S190728q	2.159430	1.390684	102.150916	14.403733	9.446159	897.634710	0.000000E+00	5.589257E-02
S190425e	S190802ab	2.159430	1.390684	102.150916	1.884447	1.031714	161.440189	1.205114E-237	4.867964E-02
S190425e	S190804f	2.159430	1.390684	102.150916	2.661309	0.997223	458.682711	2.608178E+04	4.721257E-02
S190425e	S190812an	2.159430	1.390684	102.150916	3.388247	1.510654	280.148786	1.851600E-64	3.910359E-02
S190425e	S190814bv	2.159430	1.390684	102.150916	24.687522	2.707457	266.583126	0.000000E+00	3.736131E-02
