,scale_pos_weight_xgbqts,max_depth_xgbqts,n_estimators_xgbqts,val_xgb_dense_QTS_0_roc,test_xgb_dense_QTS_0_acc,val_xgb_dense_QTS_0_acc,test_xgb_dense_QTS_0_f1,val_xgb_dense_QTS_0_f1,test_xgb_dense_QTS_0_roc
97,10.0,8.0,135.0,0.9524453938459885,0.912679325316633,0.9813120700537707,0.008316669696418831,0.18473335657023354,0.8902289785086306
98,10.0,8.0,150.0,0.9525354679186097,0.9141379379339323,0.9816795966794768,0.008410934214478822,0.18831858407079644,0.8898700415341944
99,10.0,8.0,165.0,0.9519729792179978,0.9153784589527602,0.9819752159218926,0.008486695580822882,0.1896551724137931,0.8902453213446333
100,100.0,4.0,105.0,0.9577466990610349,0.7984673562896416,0.9279727710708607,0.004742895537725782,0.07205352547606794,0.8917560275120757
101,100.0,4.0,120.0,0.9570494835182445,0.8042697933131916,0.931735924129721,0.0047815736464077154,0.0755247781865397,0.8904995417091774
102,100.0,4.0,135.0,0.9568616403096641,0.8137717841493427,0.9377202163613266,0.004917945154220346,0.08153646753858844,0.8901277843285573
103,100.0,4.0,150.0,0.9568054887223252,0.8172912623301787,0.939573828908366,0.005033886116498507,0.08360596146855688,0.8906183996364356
104,100.0,4.0,165.0,0.9569958710099589,0.8209788111006623,0.9421305358697997,0.00515916697243626,0.08720856962822936,0.8912852602706538
105,100.0,5.0,105.0,0.9546224547045807,0.8294823826006923,0.9452864710253194,0.005345409133880323,0.09032943676939426,0.8892089495667785
106,100.0,5.0,120.0,0.955122750560796,0.8349206666800056,0.9488179225157997,0.005496558623931726,0.09519774011299434,0.888925256371489
107,100.0,5.0,135.0,0.9548712260821672,0.8399247684027291,0.9518060737769752,0.0056674123788217744,0.0991636798088411,0.8895438211906199
108,100.0,5.0,150.0,0.9544306812740176,0.845343044078513,0.9543707704476634,0.005762502572545792,0.10415686274509804,0.8890028358243137
109,100.0,5.0,165.0,0.9541614026985605,0.8498409331919407,0.95634422863352,0.005907754258616579,0.1074812152891212,0.8892045258902687
110,100.0,6.0,105.0,0.9515684971150226,0.8543388223053683,0.9584694912952118,0.005980501925230072,0.1108450222374273,0.8886047014985302
111,100.0,6.0,120.0,0.9501495605116822,0.8603173332799776,0.9615694984859501,0.00617828773168579,0.11710719530102791,0.8882713158997686
112,100.0,6.0,135.0,0.9498864788456386,0.8638488165029312,0.9634231110329895,0.00630850333678938,0.12231595092024541,0.8862713118957567
113,100.0,6.0,150.0,0.9502348969157252,0.8672242341783549,0.9647893513155056,0.006497589603856634,0.12576869668716525,0.8869579208401182
114,100.0,6.0,165.0,0.9493555000187951,0.8721042837991957,0.9668027580476346,0.006589478591965188,0.12984293193717278,0.8869038391588646
115,100.0,7.0,105.0,0.9516548939007391,0.8695171972228336,0.9659318797388963,0.006399122406070026,0.12658746415403524,0.8882078020871071
116,100.0,7.0,120.0,0.9512460438035304,0.8744952880209688,0.9682329160041866,0.006588324728389979,0.1345232912494558,0.8889033822199122
117,100.0,7.0,135.0,0.9512993741919211,0.8784569519198063,0.9697669401810468,0.00663919413919414,0.1380410022779043,0.8885911965576448
118,100.0,7.0,150.0,0.9501395014781915,0.8826747233838212,0.9715486453447959,0.006876227897838901,0.1437845635970185,0.8890527105410482
119,100.0,7.0,165.0,0.9508388572408737,0.8858260469397147,0.9725633384201149,0.006961000991942641,0.1461959224266534,0.889802073086167
120,100.0,8.0,105.0,0.9497093464647887,0.8842473839012385,0.9715646247633049,0.0068667170225914995,0.1442654484251022,0.8877816190379462
121,100.0,8.0,120.0,0.9492815262367222,0.88798095199984,0.9730587003938926,0.007023518144088538,0.15020161290322578,0.888554465595145
122,100.0,8.0,135.0,0.9490099420607454,0.8919886352267953,0.9744169509671543,0.007282222916934845,0.15692469720905738,0.8878466119959416
123,100.0,8.0,150.0,0.9488595527002688,0.8946117369295103,0.9752798395666382,0.007424716390909434,0.16015200868621066,0.8865976491950087
124,100.0,8.0,165.0,0.9495081949797912,0.8971868184637548,0.9761027796198496,0.007494253761613196,0.16335664335664338,0.8864061686717308
